file_name;time (s);sent (msg/s);received (msg/s);min (us);median (us);75th (us);95th (us);99th (us)
test-161547-027;1,001;147068;23524;12454;459431;670821;801380;842464
test-161547-027;2,000;104089;32013;773998;1342233;1579364;1769677;1834328
test-161547-027;3,000;54186;50528;1761071;2376057;2562252;2762800;2828600
test-161547-027;4,001;4890;47707;2715709;3275274;3541582;3740367;3807424
test-161547-027;5,000;0;49065;3734131;4316350;4563625;4756177;4816041
test-161547-027;6,000;0;50556;4655351;5301947;5519507;5719594;5803806
test-161547-027;7,001;0;48350;5701449;6283561;6519628;6716761;6787262
test-161547-027;8,000;0;54795;6706882;7304800;7544069;7740505;7797148
test-161547-027;9,000;0;53184;7604661;8330993;8594549;8741990;8811576
test-161547-027;10,000;0;61653;8661189;9261927;9531085;9734598;9790489
test-161547-027;11,000;0;47481;9630024;10275595;10502391;10730073;10797333
test-161547-027;12,000;0;60381;10605803;11271774;11520995;11743240;11809395
test-161547-027;13,000;0;60155;11639069;12278219;12526734;12729127;12799319
test-161547-027;14,000;0;55382;12671486;13275438;13498652;13707742;13801387
test-161547-027;15,000;0;56046;13618480;14234981;14523715;14710158;14767954
test-161547-027;16,000;0;45796;14591399;15265732;15528166;15740180;15814235
test-161547-027;17,000;0;62003;15686805;16269096;16527102;16723473;16784183
test-161547-027;18,000;0;56987;16597396;17270209;17498148;17714548;17809930
test-161547-027;19,000;0;59585;17689181;18262168;18503477;18695180;18768945
test-161547-027;20,001;0;63287;18622381;19222579;19472127;19689420;19769213
test-161547-027;21,000;0;61347;19598946;20235272;20484190;20703306;20774551
test-161547-027;22,000;0;62973;20636676;21269852;21497098;21715852;21781133
test-161547-027;23,000;0;57853;21642423;22264070;22522606;22717274;22798181
test-161547-027;24,000;0;62344;22605982;23230962;23499740;23704862;23794460
test-161547-027;25,000;0;63328;23617130;24265982;24489046;24685438;24764567
test-161547-027;26,000;0;63832;24615228;25254410;25506731;25708149;25786873
test-161547-027;27,000;0;55171;25597529;26240749;26473864;26709803;26790479
test-161547-027;28,001;19125;55001;26587977;27264689;27506101;27696150;27788432
test-161547-027;29,000;5583;52593;27634645;28250047;28519305;28706969;28782568
test-161547-027;30,000;14966;47554;28603567;29211551;29462199;29690016;29765221
test-161547-027;31,000;14665;54529;29634918;30191653;30453235;30698151;30767113
test-161547-027;32,001;3426;56455;30637878;31233660;31481931;31678306;31746672
test-161547-027;33,000;0;55283;31587502;32234321;32447984;32680071;32751164
test-161547-027;34,000;0;58678;32622735;33212320;33465780;33688827;33764079
test-161547-027;35,000;0;57347;33597192;34234237;34432864;34668877;34750500
test-161547-027;36,000;0;53809;34600231;35202573;35461301;35672096;35763462
test-161547-027;37,000;0;53320;35591861;36214619;36474495;36662186;36758593
test-161547-027;38,001;0;53749;36493940;37191159;37464204;37669000;37739094
test-161547-027;39,001;0;54324;37606480;38193874;38445385;38646218;38767436
test-161547-027;40,000;0;55549;38589928;39226943;39422474;39648278;39755453
test-161547-027;41,001;0;56438;39528910;40180914;40445009;40645307;40723501
test-161547-027;42,000;19029;55809;40520385;41183663;41443174;41659275;41765257
test-161547-027;43,000;0;58069;41491816;42200412;42411313;42618082;42754757
test-161547-027;44,001;0;58563;42485362;43142298;43421906;43631002;43711796
test-161547-027;45,000;0;58356;43515711;44171491;44399839;44597247;44692964
test-161547-027;46,001;16916;47050;44507283;45089202;45294777;45570161;45680698
test-161547-027;47,000;22277;47883;45504336;46257716;46458263;46681325;46792636
test-161547-027;48,000;51537;54819;46477433;47164326;47408014;47618945;47737015
test-161547-027;49,000;91437;47685;47503040;48199784;48415005;48619818;48727873
test-161547-027;50,001;71871;48512;48579441;49144119;49431771;49641411;49738362
test-161547-027;51,000;53485;55690;49515900;50163432;50428687;50634585;50733057
test-161547-027;52,000;52047;47445;50483590;51226327;51485669;51626951;51765350
test-161547-027;53,000;72039;53310;51475226;52222223;52422300;52636625;52724543
test-161547-027;54,000;10265;52926;52466886;53168255;53445779;53635716;53742988
test-161547-027;55,000;0;59409;53413135;54184718;54418984;54653640;54726805
test-161547-027;56,000;0;59675;54365821;55157936;55429071;55652385;55776563
test-161547-027;57,000;0;64663;55450568;56184801;56432022;56650955;56722565
test-161547-027;58,000;62577;49614;56473644;57165619;57414456;57622124;57719200
test-161547-027;59,000;46419;59587;57373263;58138846;58353741;58601049;58697606
test-161547-027;60,001;73545;53984;58299423;59084485;59347510;59609811;59676133
test-161547-027;61,000;14942;60630;59305486;60131632;60353836;60582225;60682666
test-161547-027;62,000;0;57111;60385030;61126097;61379333;61612569;61719714
test-161547-027;63,000;7,0;57522;61324069;62094332;62329866;62584664;62683212
test-161547-027;64,000;2,0;60668;62191559;63094438;63317900;63592100;63707700
test-161547-027;65,000;1,0;54181;63235106;64080055;64336252;64595317;64723241
