file_name;time (s);sent (msg/s);received (msg/s);min (us);median (us);75th (us);95th (us);99th (us)
test-000938-881;1,001;133810;21964;23446;432088;595349;789690;830129
test-000938-881;2,001;86508;38911;700182;1443461;1614772;1778631;1807464
test-000938-881;3,001;81758;35312;1715003;2368141;2615884;2749047;2797612
test-000938-881;4,001;7212;52339;2662739;3187728;3422028;3676705;3776077
test-000938-881;5,001;9561;42931;3666646;4263693;4506411;4698740;4772447
test-000938-881;6,001;2109;45404;4585398;5235764;5497142;5712888;5788367
test-000938-881;7,001;0;49083;5545016;6209020;6439694;6699826;6776484
test-000938-881;8,001;0;46712;6587786;7241545;7455128;7700518;7781112
test-000938-881;9,001;0;52152;7584259;8234436;8481284;8719228;8796463
test-000938-881;10,001;0;54759;8555237;9213174;9455408;9675812;9757262
test-000938-881;11,001;0;50172;9573183;10192690;10471168;10691440;10748416
test-000938-881;12,001;0;49560;10559325;11260534;11486675;11685585;11761218
test-000938-881;13,001;0;57067;11531378;12216404;12473930;12686613;12784902
test-000938-881;14,001;0;51005;12573987;13261122;13485509;13689858;13753691
test-000938-881;15,001;0;55617;13574636;14165012;14434458;14666479;14754386
test-000938-881;16,001;0;56986;14565070;15221179;15459994;15649357;15730241
test-000938-881;17,001;0;57591;15574398;16205882;16437964;16651349;16746572
test-000938-881;18,001;0;54060;16540644;17197717;17424531;17649041;17730368
test-000938-881;19,001;0;56182;17524031;18160520;18428358;18659895;18750716
test-000938-881;20,001;0;50423;18547278;19237854;19467253;19651001;19754801
test-000938-881;21,001;0;57847;19523673;20194810;20464272;20653160;20734526
test-000938-881;22,001;0;50364;20529161;21171142;21401945;21658519;21742304
test-000938-881;23,001;0;56109;21556377;22209270;22455493;22666331;22723777
test-000938-881;24,001;0;55734;22542388;23189483;23428874;23653044;23741403
test-000938-881;25,001;0;56055;23598872;24227224;24474806;24670332;24737397
test-000938-881;26,001;0;55664;24532983;25177868;25425790;25649069;25742458
test-000938-881;27,001;0;54823;25523490;26205704;26416854;26665427;26753396
test-000938-881;28,001;0;57659;26545663;27228442;27464277;27662270;27739061
test-000938-881;29,001;0;57229;27524469;28230395;28451858;28656519;28728146
test-000938-881;30,001;0;51316;28536779;29175954;29432437;29660046;29740313
test-000938-881;31,001;9319;48308;29532806;30147890;30412996;30646563;30703285
test-000938-881;32,001;9114;53778;30532767;31210200;31446220;31646118;31731798
test-000938-881;33,001;25820;52482;31570779;32165619;32390392;32611645;32700373
test-000938-881;34,001;7498;47430;32540219;33129414;33401785;33639452;33715640
test-000938-881;35,001;0;54338;33559121;34181333;34409307;34625467;34719527
test-000938-881;36,001;7111;52531;34570559;35190170;35448532;35637056;35713422
test-000938-881;37,001;15586;52834;35428676;36187488;36381203;36602754;36714574
